condition,sample_index,source_alignment_to_opponent,semantic_final_global_cosine,semantic_early_global_cosine,semantic_final_gradient_alignment,semantic_early_gradient_alignment,semantic_layer_alignment_mean,consensus_max_weight,consensus_effective_layers,image_name
opponent_baseline,0,1.0,0.9658377170562744,0.9999247789382935,-0.08007953315973282,-0.00936758890748024,-0.014539609663188457,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
opponent_baseline,1,0.9999999403953552,0.9757226705551147,0.999906599521637,0.0034634715411812067,0.006506318226456642,0.0015309852315112948,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
semantic_only,0,-0.08007953315973282,0.9658377170562744,0.9999247789382935,1.0,0.017359931021928787,0.1853109449148178,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
semantic_only,1,0.0034634715411812067,0.9757226705551147,0.999906599521637,1.0,-0.01423262245953083,0.3094203770160675,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
shuffled_semantic,0,0.9701425433158875,0.9658377170562744,0.9999247789382935,-0.08161899447441101,-0.01502870675176382,-0.017341408878564835,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
shuffled_semantic,1,0.9701424241065979,0.9757226705551147,0.999906599521637,0.013738393783569336,0.008661849424242973,0.00507608987390995,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
final_semantic_residual,0,0.9701426029205322,0.9658377170562744,0.9999247789382935,0.16406816244125366,-0.005046453792601824,0.03070051781833172,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
final_semantic_residual,1,0.9701424837112427,0.9757226705551147,0.999906599521637,0.24589428305625916,0.0028546531684696674,0.07652992010116577,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
early_semantic_residual,0,0.9701426029205322,0.9658377170562744,0.9999247789382935,-0.07365991175174713,0.23343709111213684,0.11235131323337555,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
early_semantic_residual,1,0.9701426029205322,0.9757226705551147,0.999906599521637,-9.73953865468502e-05,0.24884256720542908,0.058381713926792145,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
uniform_multilayer_residual,0,0.9701425433158875,0.9658377170562744,0.9999247789382935,0.014886103570461273,0.17048810422420502,0.14555040001869202,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
uniform_multilayer_residual,1,0.9701424241065979,0.9757226705551147,0.999906599521637,0.13544748723506927,0.09247756004333496,0.1415921151638031,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
consensus_multilayer_residual,0,0.9701425433158875,0.9658377170562744,0.9999247789382935,-0.08144856244325638,0.18185700476169586,0.13936766982078552,0.3555113971233368,3.458939552307129,ILSVRC2012_val_00031361.JPEG
consensus_multilayer_residual,1,0.9701424241065979,0.9757226705551147,0.999906599521637,0.11134357750415802,0.04480491578578949,0.13546863198280334,0.33204352855682373,3.778754949569702,ILSVRC2012_val_00031410.JPEG
